spore,techs,locs,carriers,unit,flow_out_sum
1,biofuel_to_methanol,ITA_6,methanol,twh,1.8748995739347074
1,biofuel_to_methanol,LTU_1,methanol,twh,5.577007209367126
1,biofuel_to_methanol,LUX_1,methanol,twh,0.03124406835787057
1,biofuel_to_methanol,LVA_1,methanol,twh,8.600345408757489
1,biofuel_to_methanol,MKD_1,methanol,twh,1.072057987275121
1,biofuel_to_methanol,MNE_1,methanol,twh,1.7478147709788732
1,biofuel_to_methanol,NLD_1,methanol,twh,8.589109666475188
1,biofuel_to_methanol,NOR_2,methanol,twh,1.722127474598948
1,biofuel_to_methanol,NOR_3,methanol,twh,0.9420352603952431
1,biofuel_to_methanol,NOR_4,methanol,twh,2.073810111847451
1,biofuel_to_methanol,NOR_5,methanol,twh,1.547964587151289
1,biofuel_to_methanol,NOR_6,methanol,twh,3.0849254306277474
1,biofuel_to_methanol,POL_1,methanol,twh,4.577305273675497
1,biofuel_to_methanol,POL_2,methanol,twh,4.180461998369353
1,biofuel_to_methanol,POL_3,methanol,twh,1.222017291459609
1,biofuel_to_methanol,POL_4,methanol,twh,5.828790956564083
1,biofuel_to_methanol,POL_5,methanol,twh,5.832523837601208
1,biofuel_to_methanol,PRT_1,methanol,twh,6.327546827877245
1,biofuel_to_methanol,PRT_2,methanol,twh,3.6447124066420153
1,biofuel_to_methanol,ROU_1,methanol,twh,7.187045369737183
1,biofuel_to_methanol,ROU_2,methanol,twh,6.789921720826303
1,biofuel_to_methanol,ROU_3,methanol,twh,5.222238690455911
1,biofuel_to_methanol,SRB_1,methanol,twh,5.38265770261717
1,biofuel_to_methanol,SVK_1,methanol,twh,4.479492121862851
1,biofuel_to_methanol,SVN_1,methanol,twh,3.744469695664563
1,biofuel_to_methanol,SWE_3,methanol,twh,16.0601922216753
1,biofuel_to_methanol,SWE_4,methanol,twh,4.348755901006189
1,chp_biofuel_extraction,ALB_1,electricity,twh,0.002501044456273415
1,chp_biofuel_extraction,ALB_1,heat,twh,0.005478144886010284
1,chp_biofuel_extraction,AUT_1,electricity,twh,0.0060949716559320615
1,chp_biofuel_extraction,AUT_1,heat,twh,0.013227931241293062
1,chp_biofuel_extraction,AUT_2,electricity,twh,0.0075350052781312776
1,chp_biofuel_extraction,AUT_2,heat,twh,0.016398430432770145
1,chp_biofuel_extraction,AUT_3,electricity,twh,0.008642961018900502
1,chp_biofuel_extraction,AUT_3,heat,twh,0.018843217982587326
1,chp_biofuel_extraction,BEL_1,electricity,twh,0.035945710536607355
1,chp_biofuel_extraction,BEL_1,heat,twh,0.07819298683915085
1,chp_biofuel_extraction,BGR_1,electricity,twh,0.016032600346368914
1,chp_biofuel_extraction,BGR_1,heat,twh,0.03483229609856543
1,chp_biofuel_extraction,BIH_1,electricity,twh,0.008910102106704752
1,chp_biofuel_extraction,BIH_1,heat,twh,0.019354200285898838
1,chp_biofuel_extraction,CHE_1,electricity,twh,0.004350538596556682
1,chp_biofuel_extraction,CHE_1,heat,twh,0.009474343759647463
1,chp_biofuel_extraction,CHE_2,electricity,twh,0.003755443439805159
1,chp_biofuel_extraction,CHE_2,heat,twh,0.008212448723981445
1,chp_biofuel_extraction,CZE_1,electricity,twh,0.024745336716540344
1,chp_biofuel_extraction,CZE_1,heat,twh,0.05376074728254107
1,chp_biofuel_extraction,CZE_2,electricity,twh,0.01296320351904513
1,chp_biofuel_extraction,CZE_2,heat,twh,0.028222641170987838
1,chp_biofuel_extraction,DEU_1,electricity,twh,0.03802074100932016
1,chp_biofuel_extraction,DEU_1,heat,twh,0.0826504055607353
1,chp_biofuel_extraction,DEU_2,electricity,twh,0.021298384211996993
1,chp_biofuel_extraction,DEU_2,heat,twh,0.04626971294954367
1,chp_biofuel_extraction,DEU_3,electricity,twh,0.06578281075183202
1,chp_biofuel_extraction,DEU_3,heat,twh,0.14291708159942118
1,chp_biofuel_extraction,DEU_4,electricity,twh,0.02159831085993747
1,chp_biofuel_extraction,DEU_4,heat,twh,0.0469206870350605
1,chp_biofuel_extraction,DEU_5,electricity,twh,0.035009306663775636
1,chp_biofuel_extraction,DEU_5,heat,twh,0.07609564565286947
1,chp_biofuel_extraction,DEU_6,electricity,twh,0.034197980999125965
1,chp_biofuel_extraction,DEU_6,heat,twh,0.074330378666813
1,chp_biofuel_extraction,DEU_7,electricity,twh,0.04629735047276422
1,chp_biofuel_extraction,DEU_7,heat,twh,0.10050449542558246
1,chp_biofuel_extraction,DNK_1,electricity,twh,0.002352695384013577
1,chp_biofuel_extraction,DNK_1,heat,twh,0.005235970069708317
1,chp_biofuel_extraction,DNK_2,electricity,twh,0.0030135839854083975
1,chp_biofuel_extraction,DNK_2,heat,twh,0.006665150939268811
1,chp_biofuel_extraction,ESP_4,electricity,twh,0.002608148404821111
1,chp_biofuel_extraction,ESP_4,heat,twh,0.005776063308567578
1,chp_biofuel_extraction,ESP_7,electricity,twh,0.0033448942368085838
1,chp_biofuel_extraction,ESP_7,heat,twh,0.0074119383077482694
1,chp_biofuel_extraction,EST_1,electricity,twh,0.003504238075683899
1,chp_biofuel_extraction,EST_1,heat,twh,0.00765535215521284
1,chp_biofuel_extraction,FIN_1,electricity,twh,0.0028168554429769876
1,chp_biofuel_extraction,FIN_1,heat,twh,0.006120903753227372
1,chp_biofuel_extraction,FIN_2,electricity,twh,0.015064862124981752
1,chp_biofuel_extraction,FIN_2,heat,twh,0.03278980339473016
1,chp_biofuel_extraction,FRA_1,electricity,twh,0.007454621387617452
1,chp_biofuel_extraction,FRA_1,heat,twh,0.016334846777078818
1,chp_biofuel_extraction,FRA_10,electricity,twh,0.04438322079560093
1,chp_biofuel_extraction,FRA_10,heat,twh,0.09658392178060737
1,chp_biofuel_extraction,FRA_11,electricity,twh,0.004387739667823932
1,chp_biofuel_extraction,FRA_11,heat,twh,0.009554294654613875
1,chp_biofuel_extraction,FRA_12,electricity,twh,0.010143829105777456
1,chp_biofuel_extraction,FRA_12,heat,twh,0.022123749740862696
1,chp_biofuel_extraction,FRA_13,electricity,twh,0.010680266294322647
1,chp_biofuel_extraction,FRA_13,heat,twh,0.023351055781368965
1,chp_biofuel_extraction,FRA_14,electricity,twh,0.0029746645624648877
1,chp_biofuel_extraction,FRA_14,heat,twh,0.006469595080278611
1,chp_biofuel_extraction,FRA_15,electricity,twh,0.005231125937740007
1,chp_biofuel_extraction,FRA_15,heat,twh,0.011203487157626799
1,chp_biofuel_extraction,FRA_2,electricity,twh,0.005020759099528153
1,chp_biofuel_extraction,FRA_2,heat,twh,0.011007276331025747
1,chp_biofuel_extraction,FRA_3,electricity,twh,0.009469866736467842
1,chp_biofuel_extraction,FRA_3,heat,twh,0.020700708642649696
1,chp_biofuel_extraction,FRA_4,electricity,twh,0.008888266583614406
1,chp_biofuel_extraction,FRA_4,heat,twh,0.01941076605936056
1,chp_biofuel_extraction,FRA_5,electricity,twh,0.006749791696767064
1,chp_biofuel_extraction,FRA_5,heat,twh,0.014730294038148614
1,chp_biofuel_extraction,FRA_6,electricity,twh,0.006884724243898568
