scenarios,locs,techs,carriers,units,flow_out_sum,aliases
4,PRT,battery,electricity,kilogram,418491021.90780383,battery__electricity___PRT
4,PRT,biofuel_boiler,heat,megajoule,941583112.3587755,biofuel_boiler__heat___PRT
4,PRT,biofuel_supply,biofuel,kilogram,2933614475.819078,biofuel_supply__biofuel___PRT
4,PRT,biofuel_to_diesel,diesel,kilogram,221970777.57172236,biofuel_to_diesel__diesel___PRT
4,PRT,biofuel_to_methane,methane,cubic meter,241713645.4520233,biofuel_to_methane__methane___PRT
4,PRT,biofuel_to_methanol,methanol,kilogram,773858395.9426872,biofuel_to_methanol__methanol___PRT
4,PRT,ccgt,electricity,kilowatt hour,4632698.7333062,ccgt__electricity___PRT
4,PRT,chp_biofuel_extraction,electricity,kilowatt hour,87750947.46188949,chp_biofuel_extraction__electricity___PRT
4,PRT,chp_methane_extraction,electricity,kilowatt hour,30768632.424125202,chp_methane_extraction__electricity___PRT
4,PRT,chp_wte_back_pressure,electricity,kilowatt hour,563916574.1768184,chp_wte_back_pressure__electricity___PRT
4,ESP,el_import,electricity,kilowatt hour,16052565413.567198,el_import__electricity___ESP
4,PRT,existing_pv,electricity,kilowatt hour,1681942938.7895582,existing_pv__electricity___PRT
4,PRT,existing_wind,electricity,kilowatt hour,16911185790.106834,existing_wind__electricity___PRT
4,PRT,heat_storage_big,heat,unit,8551141.022241615,heat_storage_big__heat___PRT
4,PRT,heat_storage_small,heat,unit,1609976560.8553793,heat_storage_small__heat___PRT
4,PRT,hydro_reservoir,electricity,kilowatt hour,7092384451.179387,hydro_reservoir__electricity___PRT
4,PRT,hydro_run_of_river,electricity,kilowatt hour,8548461578.696736,hydro_run_of_river__electricity___PRT
4,PRT,methane_boiler,heat,megajoule,185888144.20848697,methane_boiler__heat___PRT
4,PRT,methane_storage,methane,unit,5760.521726074623,methane_storage__methane___PRT
4,PRT,open_field_pv,electricity,kilowatt hour,6885080411.222224,open_field_pv__electricity___PRT
4,PRT,pumped_hydro,electricity,kilowatt hour,4895779592.130681,pumped_hydro__electricity___PRT
4,PRT,roof_mounted_pv,electricity,kilowatt hour,196136983.4154985,roof_mounted_pv__electricity___PRT
4,PRT,waste_supply,waste,kilowatt hour,2572226065.9627266,waste_supply__waste___PRT
4,PRT,wind_offshore,electricity,kilowatt hour,190622189.8515112,wind_offshore__electricity___PRT
4,PRT,wind_onshore,electricity,kilowatt hour,103461203163.84502,wind_onshore__electricity___PRT
5,PRT,battery,electricity,kilogram,650735466.3109349,battery__electricity___PRT
5,PRT,biofuel_boiler,heat,megajoule,1380286056.6466532,biofuel_boiler__heat___PRT
5,PRT,biofuel_supply,biofuel,kilogram,2976482286.424501,biofuel_supply__biofuel___PRT
5,PRT,biofuel_to_diesel,diesel,kilogram,221019466.71038005,biofuel_to_diesel__diesel___PRT
5,PRT,biofuel_to_methane,methane,cubic meter,242496049.20291018,biofuel_to_methane__methane___PRT
5,PRT,biofuel_to_methanol,methanol,kilogram,772721512.7374393,biofuel_to_methanol__methanol___PRT
5,PRT,ccgt,electricity,kilowatt hour,7769230.2804171,ccgt__electricity___PRT
5,PRT,chp_biofuel_extraction,electricity,kilowatt hour,132422015.18253629,chp_biofuel_extraction__electricity___PRT
5,PRT,chp_methane_extraction,electricity,kilowatt hour,53593057.964039296,chp_methane_extraction__electricity___PRT
5,PRT,chp_wte_back_pressure,electricity,kilowatt hour,569778704.6445873,chp_wte_back_pressure__electricity___PRT
5,ESP,el_import,electricity,kilowatt hour,13964491130.308672,el_import__electricity___ESP
5,PRT,existing_pv,electricity,kilowatt hour,1669028977.0619924,existing_pv__electricity___PRT
5,PRT,existing_wind,electricity,kilowatt hour,16877683307.698792,existing_wind__electricity___PRT
5,PRT,heat_storage_big,heat,unit,11689718.694048995,heat_storage_big__heat___PRT
5,PRT,heat_storage_small,heat,unit,2554069691.8200555,heat_storage_small__heat___PRT
5,PRT,hydro_reservoir,electricity,kilowatt hour,7041198577.358978,hydro_reservoir__electricity___PRT
5,PRT,hydro_run_of_river,electricity,kilowatt hour,8492341686.492074,hydro_run_of_river__electricity___PRT
5,PRT,methane_boiler,heat,megajoule,286715284.66790855,methane_boiler__heat___PRT
5,PRT,methane_storage,methane,unit,5722.846211488927,methane_storage__methane___PRT
5,PRT,open_field_pv,electricity,kilowatt hour,15592881743.02924,open_field_pv__electricity___PRT
5,PRT,pumped_hydro,electricity,kilowatt hour,4322963893.600343,pumped_hydro__electricity___PRT
5,PRT,roof_mounted_pv,electricity,kilowatt hour,165846755.9133349,roof_mounted_pv__electricity___PRT
5,PRT,waste_supply,waste,kilowatt hour,2572236624.384405,waste_supply__waste___PRT
5,PRT,wind_offshore,electricity,kilowatt hour,94866784.41258556,wind_offshore__electricity___PRT
5,PRT,wind_onshore,electricity,kilowatt hour,97127214252.19844,wind_onshore__electricity___PRT
6,PRT,battery,electricity,kilogram,402505522.27550185,battery__electricity___PRT
6,PRT,biofuel_boiler,heat,megajoule,1244113428.4043605,biofuel_boiler__heat___PRT
6,PRT,biofuel_supply,biofuel,kilogram,2999026176.9679036,biofuel_supply__biofuel___PRT
6,PRT,biofuel_to_diesel,diesel,kilogram,214779985.32701272,biofuel_to_diesel__diesel___PRT
6,PRT,biofuel_to_methane,methane,cubic meter,242382938.6806949,biofuel_to_methane__methane___PRT
6,PRT,biofuel_to_methanol,methanol,kilogram,772905222.0655007,biofuel_to_methanol__methanol___PRT
6,PRT,ccgt,electricity,kilowatt hour,6859284.159686301,ccgt__electricity___PRT
6,PRT,chp_biofuel_extraction,electricity,kilowatt hour,124709121.3514258,chp_biofuel_extraction__electricity___PRT
6,PRT,chp_methane_extraction,electricity,kilowatt hour,50858314.2099241,chp_methane_extraction__electricity___PRT
6,PRT,chp_wte_back_pressure,electricity,kilowatt hour,568472007.3985261,chp_wte_back_pressure__electricity___PRT
6,ESP,el_import,electricity,kilowatt hour,14816109821.364681,el_import__electricity___ESP
6,PRT,existing_pv,electricity,kilowatt hour,1666878387.801088,existing_pv__electricity___PRT
6,PRT,existing_wind,electricity,kilowatt hour,16867028307.833479,existing_wind__electricity___PRT
6,PRT,heat_storage_big,heat,unit,11478019.298759917,heat_storage_big__heat___PRT
6,PRT,heat_storage_small,heat,unit,1855080489.0171802,heat_storage_small__heat___PRT
6,PRT,hydro_reservoir,electricity,kilowatt hour,7012473295.4853,hydro_reservoir__electricity___PRT
6,PRT,hydro_run_of_river,electricity,kilowatt hour,8475228980.855068,hydro_run_of_river__electricity___PRT
6,PRT,methane_boiler,heat,megajoule,276142265.0712126,methane_boiler__heat___PRT
6,PRT,methane_storage,methane,unit,5750.676445277713,methane_storage__methane___PRT
6,PRT,open_field_pv,electricity,kilowatt hour,16091955836.064667,open_field_pv__electricity___PRT
6,PRT,pumped_hydro,electricity,kilowatt hour,4289556792.3639116,pumped_hydro__electricity___PRT
6,PRT,roof_mounted_pv,electricity,kilowatt hour,107257807.44375633,roof_mounted_pv__electricity___PRT
6,PRT,waste_supply,waste,kilowatt hour,2572230073.3344417,waste_supply__waste___PRT
6,PRT,wind_offshore,electricity,kilowatt hour,77740613.21621346,wind_offshore__electricity___PRT
6,PRT,wind_onshore,electricity,kilowatt hour,95496680429.79953,wind_onshore__electricity___PRT
7,PRT,battery,electricity,kilogram,1046391996.0077846,battery__electricity___PRT
7,PRT,biofuel_boiler,heat,megajoule,2055851407.1918504,biofuel_boiler__heat___PRT
7,PRT,biofuel_supply,biofuel,kilogram,3483268556.7465973,biofuel_supply__biofuel___PRT
7,PRT,biofuel_to_diesel,diesel,kilogram,129740942.20318522,biofuel_to_diesel__diesel___PRT
7,PRT,biofuel_to_methane,methane,cubic meter,243415554.083011,biofuel_to_methane__methane___PRT
7,PRT,biofuel_to_methanol,methanol,kilogram,771052551.9511284,biofuel_to_methanol__methanol___PRT
7,PRT,ccgt,electricity,kilowatt hour,11414004.1189658,ccgt__electricity___PRT
7,PRT,chp_biofuel_extraction,electricity,kilowatt hour,185847254.2490446,chp_biofuel_extraction__electricity___PRT
7,PRT,chp_methane_extraction,electricity,kilowatt hour,73839922.6458997,chp_methane_extraction__electricity___PRT
7,PRT,chp_wte_back_pressure,electricity,kilowatt hour,574073422.163976,chp_wte_back_pressure__electricity___PRT
7,ESP,el_import,electricity,kilowatt hour,15093542494.660032,el_import__electricity___ESP
7,PRT,existing_pv,electricity,kilowatt hour,1649983848.053403,existing_pv__electricity___PRT
7,PRT,existing_wind,electricity,kilowatt hour,16819746795.038948,existing_wind__electricity___PRT
7,PRT,heat_storage_big,heat,unit,15688321.518116323,heat_storage_big__heat___PRT
7,PRT,heat_storage_small,heat,unit,2569125874.229617,heat_storage_small__heat___PRT
7,PRT,hydro_reservoir,electricity,kilowatt hour,6943377151.726193,hydro_reservoir__electricity___PRT
7,PRT,hydro_run_of_river,electricity,kilowatt hour,8399812598.149843,hydro_run_of_river__electricity___PRT
7,PRT,methane_boiler,heat,megajoule,391227372.1642428,methane_boiler__heat___PRT
7,PRT,methane_storage,methane,unit,5718.774042981455,methane_storage__methane___PRT
7,PRT,open_field_pv,electricity,kilowatt hour,19443793338.451626,open_field_pv__electricity___PRT
7,PRT,pumped_hydro,electricity,kilowatt hour,4410265204.521247,pumped_hydro__electricity___PRT
7,PRT,roof_mounted_pv,electricity,kilowatt hour,29899642.768943205,roof_mounted_pv__electricity___PRT
7,PRT,waste_supply,waste,kilowatt hour,2572226520.1300063,waste_supply__waste___PRT
7,PRT,wind_offshore,electricity,kilowatt hour,180562646.40322557,wind_offshore__electricity___PRT
7,PRT,wind_onshore,electricity,kilowatt hour,90024568310.874,wind_onshore__electricity___PRT
8,PRT,battery,electricity,kilogram,977809218.4671415,battery__electricity___PRT
